edicao,co_prova,sg_area,cor,rotulo,tipo_aplicacao,is_regular
2025,1572,CN,Verde,Verde (Reaplica̤̣o),reaplicacao,false
2025,1619,CN,Azul,Azul - BAM,bam,false
2025,1620,CN,Amarela,Amarela - BAM,bam,false
2025,1621,CN,Verde,Verde - BAM,bam,false
2025,1622,CN,Cinza,Cinza - BAM,bam,false
2025,1623,CN,Laranja,Laranja - Ampliada - BAM,bam,false
2025,1634,CN,Laranja,Laranja - Atendimento Especializado - BAM,bam,false
2025,1459,LC,Azul,Azul,regular,true
2025,1460,LC,Amarela,Amarela,regular,true
2025,1461,LC,Verde,Verde,regular,true
2025,1462,LC,Branca,Branca,regular,true
2025,1463,LC,Laranja,Laranja - Ampliada,acessibilidade,false
2025,1464,LC,Laranja,Laranja - Superampliada,acessibilidade,false
2025,1466,LC,Laranja,Laranja - Adaptada Ledor,acessibilidade,false
2025,1467,LC,Roxo,Roxo - Videoprova - Libras,acessibilidade,false
2025,1496,LC,Laranja,Laranja - Atendimento Especializado,acessibilidade,false
2025,1549,LC,Azul,Azul (Reaplica̤̣o),reaplicacao,false
2025,1551,LC,Verde,Verde (Reaplica̤̣o),reaplicacao,false
2025,1552,LC,Branca,Branca (Reaplica̤̣o),reaplicacao,false
2025,1595,LC,Azul,Azul - BAM,bam,false
2025,1596,LC,Amarela,Amarela - BAM,bam,false
2025,1597,LC,Verde,Verde - BAM,bam,false
2025,1598,LC,Branca,Branca - BAM,bam,false
2025,1599,LC,Laranja,Laranja - Ampliada - BAM,bam,false
2025,1632,LC,Laranja,Laranja - Atendimento Especializado - BAM,bam,false
2025,1471,MT,Azul,Azul,regular,true
2025,1472,MT,Amarela,Amarela,regular,true
2025,1473,MT,Verde,Verde,regular,true
2025,1474,MT,Cinza,Cinza,regular,true
2025,1475,MT,Laranja,Laranja - Ampliada,acessibilidade,false
2025,1476,MT,Laranja,Laranja - Superampliada,acessibilidade,false
2025,1478,MT,Laranja,Laranja - Adaptada Ledor,acessibilidade,false
2025,1479,MT,Roxo,Roxo - Videoprova - Libras,acessibilidade,false
2025,1497,MT,Laranja,Laranja - Atendimento Especializado,acessibilidade,false
2025,1559,MT,Azul,Azul (Reaplica̤̣o),reaplicacao,false
2025,1560,MT,Amarela,Amarela (Reaplica̤̣o),reaplicacao,false
2025,1561,MT,Verde,Verde (Reaplica̤̣o),reaplicacao,false
2025,1562,MT,Cinza,Cinza (Reaplica̤̣o),reaplicacao,false
2025,1607,MT,Azul,Azul - BAM,bam,false
2025,1608,MT,Amarela,Amarela - BAM,bam,false
2025,1609,MT,Verde,Verde - BAM,bam,false
2025,1610,MT,Cinza,Cinza - BAM,bam,false
2025,1611,MT,Laranja,Laranja - Ampliada - BAM,bam,false
2025,1633,MT,Laranja,Laranja - Atendimento Especializado - BAM,bam,false
